SUBMITTED_BY,ADDRESS,CHAIN,ENTITY_NAME,NAME,CATEGORIES,ATTRIBUTES,TAGGED_ON
Chaintool,0xa8660c8ffd6d578f657b72c0c811284aef0b735e,ETH,huobi,Huobi 8,["Exchange"],,2022-12-01
Chaintool,0xdc76cd25977e0a5ae17155770273ad58648900d3,ETH,huobi,Huobi 6,["Exchange"],,2022-12-01
Chaintool,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,ETH,huobi,Huobi: Old Address 6,["Exchange"],,2022-12-01
Chaintool,0xf2b16510270a214130c6b17ff0e9bf87585126bd,ETH,kucoin,KuCoin: Deployer,["Exchange"],,2022-12-01
Chaintool,0x039b5649a59967e3e936d7471f9c3700100ee1ab,ETH,kucoin,KuCoin: Old KCS Token,["Exchange"],,2022-12-01
Chaintool,0x5c985e89dde482efe97ea9f1950ad149eb73829b,ETH,huobi,Huobi 5,["Exchange"],,2022-12-01
Chaintool,0xf66852bc122fd40bfecc63cd48217e88bda12109,ETH,huobi,Huobi 37,["Exchange"],,2022-12-01
Chaintool,0x2b5634c42055806a59e9107ed44d43c426e58258,ETH,kucoin,KuCoin,["Exchange"],,2022-12-01
Chaintool,0x32598293906b5b17c27d657db3ad2c9b3f3e4265,ETH,huobi,Huobi 13,["Exchange"],,2022-12-01
Chaintool,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,ETH,huobi,Huobi 35,["Exchange"],,2022-12-01
Chaintool,0x0316eb71485b0ab14103307bf65a021042c6d380,ETH,huobi,Huobi: HBTC Token,["Exchange"],,2022-12-01
Chaintool,0x6edb9d6547befc3397801c94bb8c97d2e8087e2f,ETH,huobi,Huobi: Old Address 21,["Exchange"],,2022-12-01
Chaintool,0x2f5e2c9002c058c063d21a06b6cabb50950130c8,ETH,ftx,FTX: 3X Short Ethereum Token,["Exchange"],,2022-12-01
Chaintool,0x926fc576b7facf6ae2d08ee2d4734c134a743988,ETH,huobi,Huobi 15,["Exchange"],,2022-12-01
Chaintool,0xe3314bbf3334228b257779e28228cfb86fa4261b,ETH,huobi,Huobi: Old Address 20,["Exchange"],,2022-12-01
Chaintool,0x90f49e24a9554126f591d28174e157ca267194ba,ETH,huobi,Huobi: Old Address 19,["Exchange"],,2022-12-01
Chaintool,0x6f259637dcd74c767781e37bc6133cd6a68aa161,ETH,huobi,Huobi Token,["Exchange"],,2022-12-01
Chaintool,0xf775a9a0ad44807bc15936df0ee68902af1a0eee,ETH,huobi,Huobi: Old Address 16,["Exchange"],,2022-12-01
Chaintool,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,ETH,huobi,Huobi 27,["Exchange"],,2022-12-01
Chaintool,0xd8a83b72377476d0a66683cde20a8aad0b628713,ETH,huobi,Huobi 19,["Exchange"],,2022-12-01
Chaintool,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,ETH,ftx,FTX: FTT Token,["Exchange"],,2022-12-01
Chaintool,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,ETH,huobi,Huobi: Old Address 3,["Exchange"],,2022-12-01
Chaintool,0xf7a8af16acb302351d7ea26ffc380575b741724c,ETH,huobi,Huobi: Old Address 30,["Exchange"],,2022-12-01
Chaintool,0xfdb16996831753d5331ff813c29a93c76834a0ad,ETH,huobi,Huobi 3,["Exchange"],,2022-12-01
Chaintool,0x794d28ac31bcb136294761a556b68d2634094153,ETH,huobi,Huobi 29,["Exchange"],,2022-12-01
Chaintool,0x18916e1a2933cb349145a280473a5de8eb6630cb,ETH,huobi,Huobi: Deposit Funder 2,["Exchange"],,2022-12-01
Chaintool,0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,ETH,huobi,Huobi 31,["Exchange"],,2022-12-01
Chaintool,0x48ab9f29795dfb44b36587c50da4b30c0e84d3ed,ETH,huobi,Huobi: Old Address 18,["Exchange"],,2022-12-01
Chaintool,0x1062a747393198f70f71ec65a582423dba7e5ab3,ETH,huobi,Huobi 9,["Exchange"],,2022-12-01
Chaintool,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,ETH,huobi,Huobi: Old Address 33,["Exchange"],,2022-12-01
Chaintool,0x8e8bc99b79488c276d6f3ca11901e9abd77efea4,ETH,huobi,Huobi: Old Address 13,["Exchange"],,2022-12-01
Chaintool,0x689c56aef474df92d44a1b70850f808488f9769c,ETH,kucoin,KuCoin 2,["Exchange"],,2022-12-01
Chaintool,0x46705dfff24256421a05d056c29e81bdc09723b8,ETH,huobi,Huobi 12,["Exchange"],,2022-12-01
Chaintool,0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,ETH,huobi,Huobi 24,["Exchange"],,2022-12-01
Chaintool,0x956e0dbecc0e873d34a5e39b25f364b2ca036730,ETH,huobi,Huobi: Old Address 4,["Exchange"],,2022-12-01
Chaintool,0x0c6c34cdd915845376fb5407e0895196c9dd4eec,ETH,huobi,Huobi 28,["Exchange"],,2022-12-01
Chaintool,0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,ETH,huobi,Huobi 22,["Exchange"],,2022-12-01
Chaintool,0x9a755332d874c893111207b0b220ce2615cd036f,ETH,huobi,Huobi: Old Address 32,["Exchange"],,2022-12-01
Chaintool,0x636b76ae213358b9867591299e5c62b8d014e372,ETH,huobi,Huobi: Old Address 31,["Exchange"],,2022-12-01
Chaintool,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,ETH,huobi,Huobi 33,["Exchange"],,2022-12-01
Chaintool,0x6f50c6bff08ec925232937b204b0ae23c488402a,ETH,huobi,Huobi: Old Address 5,["Exchange"],,2022-12-01
Chaintool,0x68eb95dc9934e19b86687a10df8e364423240e94,ETH,ftx,FTX: 3X Long Bitcoin Token,["Exchange"],,2022-12-01
Chaintool,0x0c92efa186074ba716d0e2156a6ffabd579f8035,ETH,Huobi: Old Address 11,huobi,["Exchange"],,2022-12-01
Chaintool,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,ETH,kucoin,KuCoin 3,["Exchange"],,2022-12-01
Chaintool,0x034f854b44d28e26386c1bc37ff9b20c6380b00d,ETH,huobi,Huobi 26,["Exchange"],,2022-12-01
Chaintool,0xef54f559b5e3b55b783c7bc59850f83514b6149c,ETH,huobi,Huobi: Old Address 34,["Exchange"],,2022-12-01
Chaintool,0xeee28d484628d41a82d01e21d12e2e78d69920da,ETH,huobi,Huobi 4,["Exchange"],,2022-12-01
Chaintool,0xb8c77482e45f1f44de1745f52c74426c631bdd52,ETH,binance,Binance: BNB Token,["Exchange"],,2022-12-01
Chaintool,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,ETH,kucoin,KuCoin 10,["Exchange"],,2022-12-01
Chaintool,0xd6216fc19db775df9774a6e33526131da7d19a2c,ETH,kucoin,KuCoin 6,["Exchange"],,2022-12-01
Chaintool,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,ETH,kucoin,KuCoin: KCS Token,["Exchange"],,2022-12-01
Chaintool,0xc9a2c4868f0f96faaa739b59934dc9cb304112ec,ETH,binance,Binance: BGBP Token,["Exchange"],,2022-12-01
Chaintool,0x4fabb145d64652a948d72533023f6e7a623c7c53,ETH,binance,Binance USD,["Exchange"],,2022-12-01
Chaintool,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,ETH,huobi,Huobi 2,["Exchange"],,2022-12-01
