submitted_by	address	chain	entity	entity_name	categories	source	tagged_on
Chaintool	0xc67ab66e699ee8263f688c88d7e14980abe98764	ETH	HitBTC		Exchange	heuristic	2023-04-04 23:09:03
Chaintool	0xdcbea8400b099f16099526fceda88cfccc29332f	ETH	Huobi		Exchange	heuristic	2023-04-04 23:09:03
